original_title,release_date,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,budget,6.0 cast,5.0 cast,8.0 cast,6.0 director,8.0 production_companies,6.0 production_companies,7.0 cast,4.0 cast,7.0 production_companies,8.0 director,vote_average,4.0 production_companies,7.0 director,5.0 director,4.0 director,5.0 production_companies
1408,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,26291714.5657886,5.0,1.5,0.5,1.0,0.0,1.0,1.0,1.0,0.5,0.0,6.0,1.0,0.0,1.0,0.0,1.0
1492: Conquest of Paradise,10,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,73039139.96568091,5.0,1.0,0.0,1.0,0.5,5.0,1.0,0.5,2.0,0.0,6.0,0.75,1.0,0.75,0.25,2.25
15 Minutes,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,73889287.00163059,3.6666666666666665,5.0,0.3333333333333333,0.0,0.0,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.0,0.0,5.0,1.3333333333333333,0.0,1.0,0.0,4.0
16 Blocks,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,59491803.7060365,5.0,2.0,0.75,1.0,0.0,5.0,1.5,0.5,1.0,0.0,6.0,1.0,0.25,1.0,0.0,2.75
17 Again,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20328008.682499,5.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0
1941,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105159390.087555,2.5,5.0,0.0,1.0,0.0,2.0,3.0,1.0,2.0,0.0,5.0,2.0,1.0,1.0,0.0,3.0
2 Days in New York,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7597954.25081796,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,3.0
2 Fast 2 Furious,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90086801.00347209,5.0,3.6666666666666665,0.0,1.0,0.0,4.0,2.0,1.0,2.0,0.0,6.0,1.3333333333333333,0.3333333333333333,1.0,0.0,2.0
2 Guns,8,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,57098034.517165884,5.0,3.0,0.0,1.0,0.0,4.0,2.8,0.8,1.8,0.0,6.0,0.4,0.0,0.6,0.0,2.2
200 Cigarettes,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7854317.07956593,5.0,3.3333333333333335,0.3333333333333333,1.0,1.0,1.0,1.3333333333333333,0.6666666666666666,1.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0
2001: A Space Odyssey,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,75227563.3792221,0.3333333333333333,0.0,0.0,0.0,0.0,1.6666666666666667,5.0,0.0,2.0,0.0,7.0,0.6666666666666666,1.0,0.0,0.0,1.0
2010,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,58773177.097436205,5.0,3.0,0.0,1.0,0.0,1.0,2.5,0.0,1.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0
2012,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,203280086.82499,1.3333333333333333,5.0,0.0,1.0,0.0,2.0,0.6666666666666666,1.0,1.3333333333333333,0.0,5.0,0.6666666666666666,0.0,1.0,0.0,4.0
21,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35447532.1833208,5.0,1.5,0.0,1.0,0.0,2.0,2.5,0.0,2.0,0.0,6.0,1.0,0.0,0.5,0.0,1.5
21 & Over,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12168433.585625501,2.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,2.0,0.0,4.0
21 Grams,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,23707052.895650502,4.0,4.0,0.0,0.3333333333333333,0.0,0.3333333333333333,5.0,0.6666666666666666,3.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0
21 Jump Street,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39889259.8167943,5.0,1.3333333333333333,0.0,2.0,0.0,5.0,3.0,0.3333333333333333,3.3333333333333335,0.0,6.0,2.6666666666666665,2.0,0.0,0.0,3.6666666666666665
22 Jump Street,6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46054552.5385729,3.6666666666666665,1.3333333333333333,0.0,2.0,0.0,4.0,5.0,1.0,5.0,0.0,7.0,2.3333333333333335,2.0,0.0,0.0,3.3333333333333335
25th Hour,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18183920.9043082,5.0,4.0,0.5,1.0,0.0,2.0,3.0,1.0,1.0,0.0,6.0,1.0,1.0,0.5,0.0,1.0
27 Dresses,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30383599.014275,5.0,5.0,0.0,1.0,0.0,3.0,0.5,0.5,2.5,0.0,6.0,1.0,0.0,0.5,0.0,3.0
28 Days Later...,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,6061306.96810273,5.0,0.3333333333333333,0.0,1.0,0.0,2.0,0.0,0.0,0.3333333333333333,0.0,6.0,0.0,0.0,0.0,0.0,0.0
28 Weeks Later,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,15775028.739473099,5.0,1.3333333333333333,0.0,1.0,0.0,5.0,0.6666666666666666,0.0,0.6666666666666666,0.0,6.0,0.0,0.0,0.0,0.0,1.3333333333333333
3 Idiots,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9147603.90712458,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0
30 Days of Night,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,31550057.478946302,5.0,2.0,0.0,1.0,0.0,4.0,2.0,0.5,1.0,0.0,6.0,2.5,0.0,0.0,0.0,2.5
30 Minutes or Less,8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27143145.192561198,1.6666666666666667,5.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,5.0,1.0,0.3333333333333333,1.0,0.0,1.0
300,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,68358457.8710504,2.6666666666666665,2.3333333333333335,0.0,0.6666666666666666,1.3333333333333333,3.6666666666666665,5.0,0.0,5.0,0.0,7.0,0.6666666666666666,1.0,0.3333333333333333,0.0,3.0
3000 Miles to Graceland,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,76352263.2350183,4.0,5.0,0.4,0.0,0.8,2.8,2.2,0.4,2.2,0.0,5.0,1.8,0.0,1.0,0.0,3.0
300: Rise of an Empire,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,101320015.58486,5.0,1.0,0.0,1.0,1.0,5.0,2.5,0.0,4.0,0.0,6.0,0.5,0.0,0.0,0.0,2.5
3:10 to Yuma,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57841772.044735,5.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
4.3.2.1,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4600000.0,0.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,4.0
42,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37441334.1096169,5.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0
47 Ronin,12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,163805836.729574,2.0,5.0,0.0,0.0,0.0,2.0,0.3333333333333333,0.0,1.3333333333333333,0.0,5.0,0.6666666666666666,0.0,1.0,0.0,5.0
48 Hrs.,12,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2259642.40255122,5.0,3.0,0.0,1.0,0.6,1.0,0.6,1.0,1.0,0.0,6.0,0.8,0.0,1.0,0.0,1.0
4: Rise of the Silver Surfer,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,136716915.7421,2.75,5.0,0.0,0.25,0.5,4.5,1.0,0.25,3.25,0.0,5.0,4.25,0.0,1.0,0.0,5.0
5 Days of War,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,19387960.8518294,1.5,5.0,0.0,0.5,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,4.0
5 Flights Up,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5526546.30462875,3.0,5.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,3.0
50 First Dates,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,86583404.9859111,5.0,3.0,0.0,1.0,0.0,4.0,0.5,2.0,1.5,0.0,6.0,1.5,0.0,0.5,1.0,3.5
50/50,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7755184.34073177,5.0,3.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,6.0,0.5,0.0,0.0,0.0,2.0
54,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,17390041.0980178,1.5,5.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,5.0,0.0,0.0,1.0,0.0,4.0
55 Days at Peking,5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,121043049.316498,1.3333333333333333,5.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,5.0,0.0,0.0,2.0,0.0,2.0
8 Mile,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49702717.138442405,5.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0
88 Minutes,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,31550057.478946302,2.0,5.0,0.3333333333333333,0.0,0.0,1.0,1.3333333333333333,0.6666666666666666,1.0,0.0,5.0,1.6666666666666667,0.0,1.0,0.0,3.0
8MM,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,52362113.86377279,5.0,1.6666666666666667,0.0,1.0,0.0,3.0,1.3333333333333333,1.0,1.0,0.0,6.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.3333333333333333
9,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,30492013.0237486,5.0,2.8,0.0,1.0,0.0,5.0,3.0,0.2,0.8,0.0,6.0,0.4,0.0,0.0,0.0,2.6
9 Songs,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1154445.39981214,0.0,5.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,5.0,0.0,0.0,1.0,0.0,1.0
90 Minutes in Heaven,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4599997.97600089,2.0,5.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0
99 Homes,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7359996.76160142,5.0,2.0,0.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0
A Beautiful Mind,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,73889287.00163059,4.5,4.0,0.0,1.0,0.5,3.0,5.0,0.0,3.0,0.0,7.0,1.5,1.0,0.5,0.0,3.0
A Better Life,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9693980.42591472,5.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,2.0
A Bridge Too Far,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,79151182.7165477,5.0,1.0,0.6666666666666666,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.6666666666666666,0.0,0.0,0.0
A Bronx Tale,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33208339.1573716,2.0,1.0,2.0,0.0,0.5,0.5,5.0,0.5,2.0,0.0,7.0,0.0,1.0,0.5,0.0,1.0
A Bug's Life,11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,160523456.289395,5.0,2.5,0.0,2.0,2.0,2.0,0.0,1.0,2.0,0.0,6.0,0.5,2.0,1.0,0.0,2.0
A Christmas Carol,11,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,203280086.82499,5.0,1.5,0.5,1.0,0.0,2.0,1.0,0.0,0.5,0.5,6.0,0.0,0.5,0.5,0.0,0.5
A Cinderella Story,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21934462.5964308,2.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,4.0
A Civil Action,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,93638682.83548091,5.0,4.0,2.0,1.0,1.0,3.0,4.0,2.0,3.0,0.0,6.0,2.0,0.0,1.0,0.0,3.0
A Clockwork Orange,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11847428.8117621,0.0,1.5,0.0,0.5,1.0,1.0,5.0,0.5,2.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0
A Countess from Hong Kong,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22878673.089254897,1.5,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,2.0
A Cry in the Dark,11,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,27658365.346354604,1.0,5.0,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,5.0,0.5,0.0,1.0,0.0,4.0
A Dangerous Method,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,14540970.638872,4.0,5.0,1.0,1.0,0.0,0.0,3.0,2.0,0.5,0.0,5.0,0.5,0.5,1.0,0.5,5.0
A Dirty Shame,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17316680.997182198,2.0,5.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,4.0
A Few Best Men,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12086831.890869,2.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,5.0
A Few Good Men,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,62160970.1835582,5.0,3.5,0.5,1.0,0.5,2.0,3.0,1.5,2.0,0.0,6.0,2.0,1.0,0.5,0.0,2.0
A Fish Called Wanda,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13829182.673177302,5.0,1.5,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,6.0,0.5,0.0,0.0,0.0,1.0
A Girl Walks Home Alone at Night,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,921091.050771459,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0
A Good Day to Die Hard,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,86115068.452119,1.5,5.0,0.5,0.0,0.5,3.0,2.0,1.0,3.5,0.0,5.0,2.5,0.0,1.0,0.0,5.0
A Good Year,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,37858420.540205,5.0,2.3333333333333335,0.0,1.0,0.3333333333333333,2.0,1.0,0.0,1.3333333333333333,0.0,6.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333
A Guy Thing,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23707052.895650502,2.5,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,2.0
A Hard Day's Night,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3515133.70514074,5.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.5,0.0
A Haunted House,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2340083.38185106,2.0,5.0,0.0,0.0,0.0,1.5,0.0,1.5,0.5,0.0,5.0,0.0,0.0,1.0,0.0,4.0
A History of Violence,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,35730025.2689438,5.0,2.3333333333333335,0.0,1.0,1.3333333333333333,3.0,2.0,0.3333333333333333,2.3333333333333335,0.0,6.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0
A Home at the End of the World,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7503895.09877896,5.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.5,0.0,6.0,0.0,0.0,0.0,0.0,0.5
A Knight's Tale,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,80046727.58509979,5.0,2.0,0.5,1.0,0.0,4.0,1.5,1.0,1.5,0.0,6.0,1.0,0.0,0.0,0.5,2.0
A League of Their Own,7,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,62160970.1835582,5.0,3.3333333333333335,0.6666666666666666,1.0,0.0,2.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.0,6.0,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0
A Lonely Place to Die,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3877592.17036588,5.0,0.25,0.0,1.0,0.0,3.0,0.0,0.5,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
A Lot Like Love,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33496898.689634804,5.0,4.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,2.0
A Low Down Dirty Shame,11,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14711115.615981601,1.6666666666666667,0.6666666666666666,0.0,0.3333333333333333,0.0,1.3333333333333333,5.0,0.0,2.0,0.0,7.0,0.6666666666666666,1.0,0.6666666666666666,0.0,2.0
A Man Apart,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42672695.212171,2.5,5.0,0.0,1.0,0.5,1.0,1.5,0.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,4.0
A Mighty Heart,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16826697.3221047,5.0,1.5,0.0,1.0,0.0,3.0,1.5,0.0,2.5,0.0,6.0,0.0,0.0,0.5,0.0,2.5
A Mighty Wind,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7112115.86869516,5.0,2.0,0.0,1.0,0.0,1.0,0.5,1.0,0.5,0.0,6.0,0.5,0.0,0.5,0.0,0.5
A Most Violent Year,12,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,18421821.015429102,5.0,1.25,0.25,1.0,0.0,5.0,1.75,0.5,0.75,0.0,6.0,0.5,0.0,0.0,0.0,2.0
A Most Wanted Man,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13816365.761571802,5.0,3.0,0.0,1.0,0.0,5.0,2.0,1.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,4.0
A Night at the Roxbury,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22740822.974331,5.0,4.0,0.0,1.0,1.0,2.0,0.0,4.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,2.0
A Nightmare on Elm Street,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3778275.67054947,2.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,2.0,0.0,7.0,1.0,1.0,1.0,1.0,2.0
A Nightmare on Elm Street,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,35000000.0,0.0,5.0,0.0,0.0,0.0,2.0,0.3333333333333333,0.0,1.0,0.0,5.0,1.6666666666666667,0.0,1.0,0.0,2.0
A Nightmare on Elm Street 3: Dream Warriors,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,9595402.19032326,5.0,2.0,0.0,1.0,0.0,2.0,2.0,0.5,1.5,0.0,6.0,1.0,0.0,0.5,0.0,1.5
A Nightmare on Elm Street 4: The Dream Master,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12907237.1616321,2.0,5.0,0.0,1.0,0.0,1.0,0.0,0.5,1.0,0.0,5.0,1.0,0.0,1.0,1.0,1.0
A Nightmare on Elm Street 5: The Dream Child,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,14071879.512346,1.0,5.0,0.0,0.5,0.0,1.0,0.0,0.5,1.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0
A Nightmare on Elm Street Part 2: Freddy's Revenge,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6081498.15679926,1.0,5.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,5.0,1.0,0.0,1.0,0.0,2.0
A Passage to India,12,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,16792336.3135532,5.0,0.0,0.0,1.0,0.0,4.0,1.6666666666666667,0.0,1.3333333333333333,0.0,6.0,0.6666666666666666,1.0,0.0,0.0,1.0
A Perfect Getaway,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,14229606.077749303,5.0,2.6666666666666665,0.0,1.0,0.0,5.0,1.0,0.0,1.3333333333333333,0.0,6.0,1.0,0.0,0.6666666666666666,0.0,3.0
A Perfect Murder,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,80261728.1446979,5.0,3.0,0.0,1.0,1.0,2.0,2.6666666666666665,0.3333333333333333,1.0,0.0,6.0,1.0,0.6666666666666666,0.6666666666666666,0.0,2.0
A Perfect World,11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,45284098.85096121,5.0,3.3333333333333335,0.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,6.0,1.0,1.0,1.0,0.0,2.0
A Rage in Harlem,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12808742.735441498,5.0,2.0,0.0,1.0,0.5,2.0,1.0,0.5,1.0,0.0,6.0,0.5,0.0,0.5,0.0,1.0
A Room with a View,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5968219.23258647,5.0,1.5,0.5,1.0,0.0,3.0,1.5,0.0,0.5,0.0,6.0,0.0,1.0,0.0,0.0,0.0
A Scanner Darkly,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,9194187.84547836,5.0,2.0,0.0,1.0,0.0,4.0,2.3333333333333335,0.6666666666666666,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
